,PostId,PostUrl,Platform,ChannelID,ChannelName,ChannelEngagement,post_body_text,published_at,LikesCount,SharesCount,CommentsCount,ViewsCount,FollowersCount,FollowersCommentsRatio
3010,332697381,https://twitter.com/RepBonamici/status/1843386540208337019,Twitter,7738293,Suzanne Bonamici,"{""follower_count"":37708,""following_count"":1314,""like_count"":null,""post_count"":14640,""views_count"":null,""comment_count"":null,""share_count"":null}","One year ago today Hamas waged a brutal attack on Israel. Terrorists killed more than 1,200 innocent people and took 240 hostages, nearly 100 of whom remain in Gaza.",2024-10-07T20:22:54.000Z,19,5,20,2805,3770,188.5
3011,332697383,https://twitter.com/RepBrianBabin/status/1843386265745666407,Twitter,8644081,Brian Babin,"{""follower_count"":29398,""following_count"":841,""like_count"":38621,""post_count"":7297,""views_count"":1660699,""comment_count"":22496,""share_count"":853122}","Our hearts mourn with Israel and the families of those who had loved ones taken or killed by Hamas terrorists a year ago.

America must remain steadfast in our support of Israel and its right to defend itself against those seeking its destruction. https://t.co/hxCy2qBBc1",2024-10-07T20:21:48.000Z,2,0,3,300,2939,979.6666666666666
3012,332885541,https://twitter.com/sliccardo/status/1843386239942307963,Twitter,8655512,Sam Liccardo,"{""follower_count"":36915,""following_count"":2120,""like_count"":null,""post_count"":11809,""views_count"":null,""comment_count"":null,""share_count"":null}","One year ago, Hamas terrorists attacked Israel, taking hundreds of hostages and killing more than 1,200 people in what was the deadliest assault on Jews since the Holocaust. About one hundred hostages remain in captivity, if they're alive at all.

Today, I hold in my heart the",2024-10-07T20:21:42.000Z,4,1,2,1635,3691,1845.5
3013,332690931,https://twitter.com/RepAlexMooney/status/1843385587270856789,Twitter,8643957,Rep. Alex Mooney,"{""follower_count"":25315,""following_count"":754,""like_count"":58354,""post_count"":4607,""views_count"":4005632,""comment_count"":35415,""share_count"":53444}",Today marks one year since Hamas terrorist brutally attacked and murdered innocent Israelis. Israel has since come under attack on all sides from radical Islamic terrorists. We must continue to stand strong beside them as they fight back to defend their homeland.,2024-10-07T20:19:07.000Z,7,2,2,563,2531,1265.5
3014,332698711,https://twitter.com/RepRitchie/status/1843384694928486418,Twitter,8643931,Rep. Ritchie Torres,"{""follower_count"":45858,""following_count"":1084,""like_count"":null,""post_count"":3644,""views_count"":null,""comment_count"":null,""share_count"":null}","On this first anniversary of the October 7th massacre in Israel, we remember the over 1,200 innocent lives taken far too soon, stand with our loved ones and neighbors in mourning, and honor the unassailable spirit of the Jewish people.

#BringThemHomeNow https://t.co/L7QOwB11tD",2024-10-07T20:15:34.000Z,711,69,76,10592,4585,60.328947368421055
3015,332699968,https://twitter.com/CongressmanRaja/status/1843384009394663586,Twitter,6716387,Congressman Raja Krishnamoorthi,"{""follower_count"":171475,""following_count"":1065,""like_count"":null,""post_count"":15219,""views_count"":null,""comment_count"":null,""share_count"":null}",My statement on the one-year anniversary of the October 7th attack on Israel. https://t.co/NJWW9qstNy,2024-10-07T20:12:50.000Z,32,4,10,2714,17147,1714.7
3016,332975615,https://twitter.com/revelesforcd34/status/1843383990247731672,Twitter,22047635,PochoCommie 🇵🇸 🚩,"{""follower_count"":1146,""following_count"":2309,""like_count"":null,""post_count"":4596,""views_count"":null,""comment_count"":null,""share_count"":null}","RT @leibowitzadak: In 1982, Israel demanded that UN Peacekeeping forces leave Lebanon, and then once they did it perpetrated the Sabra and…",2024-10-07T20:12:46.000Z,0,7035,0,0,114,inf
3017,330147664,https://twitter.com/TrumpWarRoom/status/1843383954239565890,Twitter,8423211,Trump War Room,"{""follower_count"":2178349,""following_count"":262,""like_count"":null,""post_count"":49184,""views_count"":null,""comment_count"":null,""share_count"":null}",Kamala uses her remarks on the one-year anniversary of the worst attack against the Jewish people since the Holocaust to play both sides and implicitly criticize Israel's right to self-defense https://t.co/V3QmRJ5vL5,2024-10-07T20:12:37.000Z,1019,404,235,51718,217834,926.9531914893618
3018,330613164,https://twitter.com/RepRickAllen/status/1843383490588619227,Twitter,7420717,Rick W. Allen,"{""follower_count"":28531,""following_count"":351,""like_count"":54672,""post_count"":4057,""views_count"":1599269,""comment_count"":18278,""share_count"":110197}",RT @HouseGOP: Today marks the one-year anniversary of the horrific terrorist attacks on our most precious ally Israel by Hamas terrorists.…,2024-10-07T20:10:47.000Z,0,89,0,0,2853,inf
3019,332929181,https://twitter.com/Villaverde4NC/status/1843382962030817495,Twitter,9721590,Christine Villaverde,"{""follower_count"":10646,""following_count"":10670,""like_count"":25879,""post_count"":7446,""views_count"":87120375,""comment_count"":null,""share_count"":null}","RT @Israel: Today and always we stand with the families of the hostages and pray for the return of their loved ones. 

#RememberOctober7 ht…",2024-10-07T20:08:41.000Z,0,177,0,0,1064,inf
